No,LPS/Depo,Alamat,Latitude,Longitude
1,Demak (Kali Butuh),Jalan Demak,–7.253606,112.720422
2,Pringadi,Jalan Pringadi,–7.252544,112.733072
3,Penghela,Jalan Penghela,–7.248233,112.733186
4,Sulung Kali,Jalan Sulung Kali,–7.244014,112.742173
5,Dupak,Jalan Babatan Dupak,–7.244836,112.727439
6,Simolawang,Jalan Simolawang,–7.237522,112.753542
7,Pasar Kapasan,Jalan Simolawang Baru I,–7.239633,112.750247
8,Tambak Rejo,Jalan Kenjeran (depan Makam Rangkah),–7.243069,112.760314
9,Simpang Dukuh,Jalan Simpang Dukuh,–7.260503,112.742111
10,Pasar Genteng,Jalan Genteng Besar,–7.258242,112.740377
11,Kayun,Jalan Kayun,–7.269259,112.747528
12,Legundi Anggrek,Jalan Anggrek,–7.262483,112.752017
13,Pecindilan,Jalan Raya Pecindilan,–7.244094,112.747411
14,Makam Peneleh,Jalan Makam Peneleh,–7.252331,112.741364
15,Kedondong,Jalan Kedondong,–7.271773,112.738242
16,Kedung Anyar,Jalan Kedung Anyar,–7.254253,112.731048
17,Pasar Kembang,Jalan Wonorejo III Pasar,–7.269049,112.729097
18,Pandegiling,Jalan Pandegiling,–7.276231,112.735806
19,Dinoyo,Jalan Dinoyo,–7.278275,112.743403
20,Rumah Sakit Darmo / Ketampon,Jalan Taman Ketampon,–7.287677,112.736963
21,Keputran Selatan,Jalan Keputran Selatan,–7.274575,112.74337
22,3R Jambangan,Jalan Jambangan Kebon Agung,-7.313541,112.732069
23,Gayungsari,Jalan Gayungsari IV,-7.324832,112.749814
24,Nyamplungan,Jalan KH Mas Mansyur,-7.221696,112.750527
25,Kertopaten,Jalan Kertopaten,-7.230313,112.741019
26,Jagir,Jalan Bendul Merisi,-7.299018,112.753697
27,Prada Kali Kendal,Jalan Kali Kendal,-7.275311,112.69504
28,Wonokusumo Kidul,Jalan Wonokusumo Jaya,-7.225113,112.75234
29,Gubeng,Jalan Gubeng Kertajaya,–7.277812,112.761476
30,Sawahan,Jalan Sawahan Raya,–7.2625942,112.728107
